week_old,week,Rev from a Sport Store retail
18-W43,18-W43,1471145.473
18-W44,18-W44,1124070.375
18-W45,18-W45,1182533.905
18-W46,18-W46,1488367.156
18-W47,18-W47,466155.0965
18-W48,18-W48,1048259.263
18-W49,18-W49,1323685.954
18-W50,18-W50,1158646.736
18-W51,18-W51,1481936.654
18-W52,18-W52,1788073.798
19-W01,19-W01,979066.6646
19-W02,19-W02,1141417.838
19-W03,19-W03,1207949.799
19-W04,19-W04,1339104.659
19-W05,19-W05,1401570.019
19-W06,19-W06,1743863.144
19-W07,19-W07,1346323.227
19-W08,19-W08,1915018.404
19-W09,19-W09,1327961.5
19-W10,19-W10,2061708.586
19-W11,19-W11,2179108.06
19-W12,19-W12,2013049.328
19-W13,19-W13,2813044.187
19-W14,19-W14,1970402.267
19-W15,19-W15,2326520.557
19-W16,19-W16,2370435.609
19-W17,19-W17,1842326.8
19-W18,19-W18,2247571.872
19-W19,19-W19,1988943.261
19-W20,19-W20,1776697.211
19-W21,19-W21,1933504.933
19-W22,19-W22,1375458.703
19-W23,19-W23,1926598.534
19-W24,19-W24,1786382.017
19-W25,19-W25,1648414.659
19-W26,19-W26,1690620.346
19-W27,19-W27,1472847.215
19-W28,19-W28,1341204.689
19-W29,19-W29,1447484.077
19-W30,19-W30,1467853.162
19-W31,19-W31,1159915.603
19-W32,19-W32,1452501.114
19-W33,19-W33,1426751.255
19-W34,19-W34,1495004.197
19-W35,19-W35,1450547.162
19-W36,19-W36,1251858.996
19-W37,19-W37,1362013.425
19-W38,19-W38,1565095.159
19-W39,19-W39,2092334.115
19-W40,19-W40,933079.4715
19-W41,19-W41,1321841.126
19-W42,19-W42,1161127.144
19-W43,19-W43,1382465.064
19-W44,19-W44,1194736.656
19-W45,19-W45,1253855.221
19-W46,19-W46,2007483.554
19-W47,19-W47,893463.463
19-W48,19-W48,774402.7244
19-W49,19-W49,1196645.171
19-W50,19-W50,1379853.797
19-W51,19-W51,1686508.664
19-W52,19-W52,2305263.727
20-W01,20-W01,1122935.915
20-W02,20-W02,1259625.695
20-W03,20-W03,1212461.625
20-W04,20-W04,1443773.558
20-W05,20-W05,1618276.141
20-W06,20-W06,1454490.583
20-W07,20-W07,1851955.014
20-W08,20-W08,2236988.145
20-W09,20-W09,1462601.899
20-W10,20-W10,1782697.825
test_-W11,20-W11,
test_-W12,20-W12,
test_-W13,20-W13,
test_-W14,20-W14,
test_-W15,20-W15,
test_-W16,20-W16,
test_-W17,20-W17,
test_-W18,20-W18,
test_-W19,20-W19,
test_-W20,20-W20,
